example_id,customer_text,amazon_reply,intent
125,"@AmazonHelp Claro, por todos los medios. En 6 horas me diran algo/no reply/Roberto por chat qué mi pedido no existe...",@158316 Si para el final del día no recibieras respuesta contáctanos por acá: https://t.co/WSf7VAQDqU ^VL,order_preorder
126,@AmazonHelp Ok. Plz help me. Solve my prblm.,"@158512 I understand how upsetting such a situation can be, Rajesh. I apologize for this delay. I'd like to have a closer look 1/2^EM",general_other
127,À force de recevoir 1 commande sur 2 en retard je vais bientôt dire au revoir à @120533 et dire bonjour à @131800 payer un abonnement 50€ pour avoir autant que si je ne le payais pas j’appelle ça du vole.,@140401 Vraiment désolé d'apprendre cela. L'une de vos commandes en cours subit un retard ? ^KD,delivery_missing
128,Te quiero mucho @116875  eres mi salvación! 😍💥👊,"@179485 El sentimiento es mutuo, Lau. 💞 Cuéntanos, ¿qué hemos hecho? 😊 ^JQ",general_other
129,"@AmazonHelp Intenté llamar al 1-0800, ingresé por el sig enlace https://t.co/i8dhNQrRvl y tampoco tuve solución. Tienen algun email?","@162531 Entiendo, en el enlace que nos brindaste, luego de seleccionar el problema, tienes la opción de contactarnos por correo 1/2",general_other
130,"@115850 delivery guy calls at 10.45 pm to check if he can deliver at my ofc! Surprised to get yes as answer, gave an excuse for being far!",@176090 I'm very sorry about the late delivery. I'll share a feedback about this to the concerned team internally for review. ^NR,delivery_missing
131,"@AmazonHelp Delayed status. Bigger item so I understand why USPS is being used to deliver, I prefer UPS it would be successful. Instead now I wait #TheUnknown","@181636 I completely understand. We'd like to look into this further with you. When you have the chance, please reach out to us here: https://t.co/hApLpMlfHN so we can investigate! ^VB",delivery_missing
132,@AmazonHelp Thanks :) Have a great day!!,"@156922 You're very welcome, Ben! I hope you have a great day, as well! 😁 ^SD",general_other
133,"@AmazonHelp no, it's the main US version, and I'm accessing prime video on my Roku",@131676 Can I ask if you have tried this episode on any other device to see if the same issue occurs? ^KI,prime_video_digital
134,@118706 @115821 Package Ripped halfway thru just to see whats inside smh,"@129191 Oh no! If anything is damaged or missing, please reach out to us here to review our options: https://t.co/hApLpMlfHN ^WT",product_seller
135,@115830 Anyway to raise a complaint re: Amazon Logistics deliveries? Tried via phone to support team yesterday and got nowhere. Need Help!,"@171657 Hey, Paul. We're here to help! I'm going to go ahead and respond to your DM, and then we can continue here or there. ^LB",complaint_service
136,@AmazonHelp ur team have not solved my problem till now i am going to delete my Amazon account .....please let me know how to send my amazon pay balance to bank so i can delete my amazon account,"@148568 I'm sorry that you're facing issue with your amazon wallet. Once the amount is loaded in amazon pay balance, it would not be possible to transfer it back to the bank account. However, you may use the same to make purchases on our website. ^HS",account_prime
137,"Hi @119625 Shin-Chan season 1 is shown as un-available for a while. Please take a look at the issue. 

.Nikhil's Chithappa",@138657 Thank you for bringing this to our notice. I'll be sure to pass on this to the concerned team for a review. ^GD,prime_video_digital
138,"@AmazonHelp Demande d’une première attestation sur l’honneur de non réception, que j’envoie, aujourd’hui je retrouve un nouveau mail qui me demande la même chose ! J’appelle on me dit 48h à nouveau ! Et console en rupture ! Cool j’ai payé !",@136280 Avez-vous bien envoyé l'attestation ? ^AR,delivery_missing
139,"@AmazonHelp @119356 the customer cr nmbr is useless.no option to talk to cstmr cr executv.
i hv smthng vry impt to ask,ths hlpline is usels",@175080 Kindly try connecting with us via https://t.co/vlvfJr4nN9 we'll be happy to help. ^SG,complaint_service
140,Dafuq @115821? Your site says my package arrives today and then I see it will actually be delivered tuesday... Y u do dis??,@164535 I'm very sorry your order was delayed. Please let us know if it doesn't arrive by the new expected delivery date. ^CL,delivery_missing
141,"Salut @120533 ! 4 commandes perdues en 10 jours, ça se passe comment?","@138302 Bonjour, je suis désolée pour ces incidents. Quelle est le transporteur SVP ? ^SM",delivery_missing
142,Hi @115850 can I order an home appliance today and get it delivered by end of this month ? #genuinequestion,"@175385 Could you specify on which home appliance product you're looking for, Karthik? ^JC",delivery_missing
143,@AmazonHelp 10-12th October!,@183552 You'll receive an email once we ship it out. Please keep us posted! ^TR,delivery_missing
144,"@AmazonHelp due for delivery by 8pm, but not out for delivery yet? Really? I find one of these statements on the same screen hard to believe.  @115830 https://t.co/3R7W1opc3o",@142701 Couriers can sometimes deliver as late as 10pm. Please keep us updated on the arrival!  ^KH,delivery_missing
145,@AmazonHelp Supposed to arrive Nov 2nd or 3rd now and I need the package no later than tomorrow night,@123655 What was the original delivery date given in your order confirmation e-mail? ^MH,delivery_missing
146,@AmazonHelp I don't think sharing information is necessary..I have cancelled the order.,"@152495 I'm sorry for the disappointing experience, Karthik. I'll be sure to forward this as a feedback to out team internally. ^MK",return_cancellation
147,feeling real sad even after buying a phone @115850 what promotion they do &amp; what they offer in no cost emi is only for 3 months,@186832 Sorry for the hassle. I'll surely pass on your feedback to the concerned team internally. ^HN,product_seller
148,@AmazonHelp Chk order details 8650373360.. u will know how i was fooled,@195050 Please don't provide your order details as we consider it personal info. Our twitter page is visible to public.(2/2) ^CB,general_other
149,@AmazonHelp  https://t.co/HWXuUYZUsi,@120930 We'd like to take another look into this with you. Please reach out via phone/chat here: https://t.co/hApLpMlfHN ^TK,general_other
150,@AmazonHelp It was scheduled yesterday but got updated this morning.,@132436 What does the updated tracking on your order say now?^PJ,delivery_missing
151,@AmazonHelp For morw info please go through below link.Your Amazon order will be delivered by Blue Dart on 27-SEP-17.Track on https://t.co/1jpnoGb22u,"@176625 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD",delivery_missing
152,"Frode 
Fake fake fake
Very poor
Amazon service 
9773388355
7666616852
@AmazonHelp @115850 @118702 @122599",@123622 I'm sorry for the trouble. Our team is currently working on it and it'll be resolved at the earliest. (1/2)^AU,complaint_service
153,@115850 today I ordered shoes..And order has cancel led by mistake..Pls refund as soon as possible https://t.co/wsY9rtYk2W,@191213 Twitter being a public platform we do not have access to your order details. (1/3) ^SI,return_cancellation
154,@AmazonHelp Gracias,"@148242 Con todo gusto Adolfo, cualquier consulta adicional que tengas estamos para ayudarte 🙂 ^MZ",general_other
155,今初めて知った・・・・自分Amazonプライム会員だったと・・・・・・・・・・,@132466 (2/2)なお、有料会員移行後、特典をご利用されていない場合には、退会とともに年会費を返金いたします。退会をご希望の際には、こちらのヘルプページをご確認のうえ、お手続きください。 https://t.co/wdPTbEULCH ET,account_prime
156,@AmazonHelp @115850 trimmer and bedsheet means the same ! I can keep the bedsheet if it's a Diwali gift but send me the trimmer I had ordered ASAP. https://t.co/KbQKMv8sxX,"@192448 That's wishful thinking, isn't it? We'd want you to have your trimmer, hope you've requested a replacement for your order? ^JC",product_seller
157,@AmazonHelp okay well i got my headphones you're back in the good books @115830,@183919 Perfectly understandable! Thanks for keeping us in the loop and letting us know you received it! We're always here for you! ^KN,general_other
158,"@AmazonHelp I have put in the details. 
I would highly appreciate real-time updates on the order status.","@184668 Thank you for confirming, Taniya. If you've shared your details, our team will get back to you soon. ^AG",delivery_missing
159,@AmazonHelp Should have been today. 4/10/17,@174525 Do you see a reason for the delay listed in your tracking information? Is there a new delivery date for this order? ^DD,delivery_missing
160,@115821 DO NOT USE Lasership for delivery service they are HORRIBLE and incompetent 😡,"@164621 I'm sorry to hear this! Do you have an issue with an order being delivered via Lasership? If so, can you please let us know what's going on without sharing any personal or account specific information. ^EZ",delivery_missing
161,@115830 @@AmazonHelp @129773 just spent 40mins on sos to your agent and no closer am i to using a service you are charging me for,"@129772 I'm sorry for the frustrating experience! Without providing personal information, what is the issue you are experiencing? ^TN",complaint_service
162,"@AmazonHelp your customer service is a joke, worst agents out there","@130241 I'm sorry for the poor experience! Without giving account/personal details, can you tell us what's going on? ^AC",complaint_service
163,@AmazonHelp Yes at work I have no security access but u say u can't deliver but we are a business open to the public since 9.30,"@183110 Sorry to hear that, have you contacted us here: https://t.co/JzP7hlA23B to look into this with an agent? ^JJ",delivery_missing
164,@AmazonHelp I have done that once. Hasn't helped. I would like to give this feedback directly to your senior management,"@192513 Seems like you are disappointed with our services and we want to fix it. Kindly elaborate, for us to help you better. ^MP",complaint_service
165,@AmazonHelp https://t.co/vBFzh8P7pw 💙💙💙,@171144 😍,general_other
166,"Hey there @115821, slight problem tonight at the White House.  I didn’t sign for this package that was supposedly delivered.  Reached out to @123967.....crickets.  #help https://t.co/s8TpkHLrxH",@133247 I'm so sorry you haven't received your order! Have you tried these tips to locate your order: https://t.co/Z2ZutU5SmU? Let us know if you're still unable to find it! ^EB,delivery_missing
167,@AmazonHelp Ok i sent you an email please put the money back in the bank today it needs to go back in no later than today tjanks keep me posted,"@154645 Thanks for the update, Chantel! If this is time sensitive I'd suggest speaking to live support via phone or chat using the link provided by ^FR as email support can take up to 24-48hrs for a response. ^TM",refund_payment
168,"Amazonがあってよかった！！
北海道の美味しい白ワイン(マスカットワイン)と赤ワイン(黒ブドウのワイン)が届いた🍷 https://t.co/HHAw9znNpn",@194378 喜んでいただけて嬉しいです！飲むのが楽しみですね😊✨SK,general_other
169,@115830 maybe your delivery guys could use their common sense -  if my safe place happens to be outside and it's pouring down then perhaps don't leave it! The box of the present I have got someone is just falling apart due to the water! 😠😠,"@142344 Hello, Beth. I'm sorry your package was left out in the rain. That's definitely not the type of service that we aim to provide. Please give us a chance to look into this for you and reach out to us using the link provided here: https://t.co/JzP7hlA23B ^FJ",delivery_missing
170,"@AmazonHelp I guess it tried Prime Music by default, though i've also linked Saavn. Btw, this was seen with Echo2, recently launched in India.","@125593 I understand your concern, please fill this form: https://t.co/beaaDm0muc and we’ll contact you soon. ^SU",prime_video_digital
171,@AmazonHelp Help! All my content has disappeared from my account - it says 'no items found' and I should have several hundred books and samples in there (833 items according to my Kindle). Everything seems OK with my Kindle and all my books etc are still in my library.,"@151188 Hi there! Do you have more than one account? If so, can you confirm that you are logged into the correct one? Please let us know! We'd like to help! ^SM",technical_device
172,@115821 my prime package wasn’t delivered today,@196707 I'm sorry to hear this! Was today the expected delivery date given in your confirmation e-mail? Let us know! ^KJ,delivery_missing
173,@AmazonHelp Vendu et expédié par amazon ;),@193000 je vous suggère de contacter notre SAV pour vérifier le cas et vous proposer une solution : https://t.co/kE3ACN2D0O. Merci ^ RA,product_seller
174,"@AmazonHelp Mon colis est bien arrivé, ouvert 😬 mais bien arrivé quand même :)","@139205 Bonsoir, vraiment désolé d'apprendre cela. Le colis est-il intact ? ^KD",delivery_missing
175,@AmazonHelp That was responded already. Can you be serious?,@173036 We're working on it and will get back to you at the earliest. ^PB,complaint_service
176,"@AmazonHelp why there is delay in dispatch?
One package is shipped other still waiting.
Kindly dispatch asap https://t.co/mwM8mI5ohN",@181168 Your order will be shipped on time and delivered to you by the estimated delivery date. Kindly wait. 1/2 ^PS,delivery_missing
177,"@AmazonHelp hello, can you match this price on https://t.co/LUUxpi8gXi please, thanks a lot @120533 bonjour, pouvez vous aligner sur ce prix 476€ pour le Sony RX100 Mark 3 s'il vous plait ? https://t.co/uDKoHsSBWF","@140655 Bonsoir, cela n'est malheureusement pas possible. Les prix dépendent de plusieurs critères. Merci pour votre intérêt. ^MH",product_seller
178,"Hey @115850, all that packaging and that huge box just for one Shuttle barrel. Which doesn’t even require those air packs 💀💀 https://t.co/BRAPS5UCHX",@184045 You may share your feedback on the packaging here :https://t.co/BOC2qI06T6. We will look into it. ^SB,product_seller
179,Hi @AmazonHelp I have tried to troubleshoot with @184215 who said I should speak with you. What's the best way to get in touch? Thanks.,"@184214 No problem, Jade! We'd love to help! Can you give us some details on the problem you were troubleshooting? ^AJ",technical_device
180,@AmazonHelp USPS,@197435 Thanks for the information! Could you tell us the latest tracking update on this delivery? ^ML,general_other
181,@AmazonHelp Jajajaja hacer un reembolso que estaba esperando desde hace 1 mes 🙌,"@129192 Nos llena de felicidad saber de tu alegría Ivana. ¡Que tengas una feliz tarde! 😍☕️
^JJ https://t.co/xrYLKri9tJ",refund_payment
182,@AmazonHelp why do you stick the labels on the box. This is a gift and can’t get label off. Really disappointed with this shoddy service https://t.co/PLjW8o3gn0,"@132138 Apologizes for any frustration caused Olive. Not all items are shipped with additional packaging, it explains this further here: https://t.co/TOck8KG7S2 ^NV",product_seller
183,@AmazonHelp  https://t.co/bKCgsiJ2W8,"@137106 Please keep us informed of your delivery situation. By now I'm sure you don't want to interact with any of us again, but we really do want to help. If your package doesn't arrive by the date shown on your tracking, please reach out. ^SP (2/2)",general_other
184,"@119625 Sarvana from your customer care team is refusing to help, and is stalling me. 406-8052937-0506733 Order. This is just Painful",@183649 Could you please tell us what issue you're placing with the order? ^HN,complaint_service
185,"@AmazonHelp Hello! Yes it's not in my inbox, spam or junk folders! Is there any way I can receive an email confirmation again? 
If it on my amazon account orders, is that confirmed it has been accepted?","@148047 Thanks for confirming! Can you locate the order confirmation in your message centre? Visit us here: https://t.co/WpYPH68T5o under ""Related To Your Order"" to check. ^TK",order_preorder
186,"@115850 @115821 @115850 Since it's an office address so I won't be available after 4:30 PM till Monday
Tracking # 209115527246",@183121 Don’t provide your tracking details as its personal information. Our Twitter page is visible to public.(2/2)^RS,delivery_missing
187,@AmazonHelp Yep it's in there! confirmed its been accepted :) thanks - will I receive it on email?,@148047 Hey Eve! Yes you should receive your confirmation email soon.^HS,order_preorder
188,@AmazonHelp Good joke. Your customer care team is making fool of customer and you are will set up to snatch our hard earned money. #snatcher https://t.co/eFmWcVjUqU,"@132125 We are following with this. Please reply to the email received from our team, we will check &amp; connect with you accordingly. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW",complaint_service
189,I would love to know why a simple delivery of my @115821  package could not be made. It was supposed to arrive on the 26th. C'mon...,@131064 Sorry to hear it hasn't arrived yet. Which site did you purchase through? Amazon .com / .de / .co.uk? ^MI,delivery_missing
190,@AmazonHelp Update ??? What your internal investigation repors tell you ??,"@118924 Sorry for this trouble. If the details were shared, you must've received a correspondence from us. Please check and reply. ^HD",complaint_service
191,@AmazonHelp And a few other parcels for other people were left unattended too in a place that anyone could've taken them. Not a safe place at all.,"@131416 Hi I am sorry to hear that, please get in touch with us here:  https://t.co/JzP7hlA23B and we can investigate this further. ^HS",delivery_missing
192,@AmazonHelp Hello team I am still waiting for the book.,"@162506 Just to confirm, have you dropped in your details using the link provided by ^SQ ? We'd like to have a look into it. ^AB",delivery_missing
193,"@AmazonHelp Hello, could you please help expedite a response to my request. It’s been a long wait. Your work hours will again be over in a bit.",@158354 details from Twitter to take any action. Please revert our email for further proceedings. [2/2] ^HA,complaint_service
194,"@AmazonHelp WHY CAN'T YOU MENTION THE ORDER VALUE,BECAUSE AFTER SOME TIME YOU WILL SAY"" AS PER CO. POLICY WE WON'T REFUND THE FULL AMOUNT"".","@195351 I understand your concern, we've received your revert and we will get back to you on it soon. ^GU",refund_payment
195,Eben hat @116316 meine #ProfessorLayton Vorbestellung verschickt 😍😍 ich freu mich so auf das Spiel 😁,@170169 Na dann schon mal viel Freude damit. Ganz liebe Grüße ^TG,order_preorder
196,@AmazonHelp I did fill out the link. None called.,@149068 I can see our team got back to you 08:00am Pacific time via e-mail asking for more details. Did you see this message? ^KI,complaint_service
197,@AmazonHelp La même que celle sur la commande mardi 28 mais ce n’est qu’une date provisoire si j’ai bien compris donc ça peut arriver plus tard ou plus tôt mais dans ce cas là c’est pas du 1j ouvre,"@146895 Si la date du 28 Novembre vous a été confirmée, c'est donc la date à laquelle vous serez livré. ^SM",delivery_missing
198,"@AmazonHelp I have fill up the details in form and submitted , kindly help in getting my product deliver to my address","@148578 We've received your details, Atul. Be assured, we'll check your concern and get back to you with further assistance. ^SV",delivery_missing
199,@AmazonHelp Please can you tell me where I can find a VAT invoice for an Amazon prime membership?,"@133574 You can manage your Prime subscription here. It should have the information you are requesting. If not let us know https://t.co/om8OZbjPjC
^DJ",account_prime
200,@AmazonHelp Chat option is also blocked,@172935 Please drop in an email with your issue/query using the link above and we'll have a look into it for you. Thanks! ^AB,general_other
